EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,53042,NA,FUTSTK,275,AUROPHARMA,AUROPHARMA-Sep2025-FUT,AUROPHARMA SEP FUT,FUT,NA,550,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53043,NA,FUTSTK,5900,AXISBANK,AXISBANK-Sep2025-FUT,AXISBANK SEP FUT,FUT,NA,625,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53044,NA,FUTSTK,16669,BAJAJ-AUTO,BAJAJ-AUTO-Sep2025-FUT,BAJAJ-AUTO SEP FUT,FUT,NA,75,30/09/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53045,NA,FUTSTK,16675,BAJAJFINSV,BAJAJFINSV-Sep2025-FUT,BAJAJFINSV SEP FUT,FUT,NA,500,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53046,NA,FUTSTK,317,BAJFINANCE,BAJFINANCE-Sep2025-FUT,BAJFINANCE SEP FUT,FUT,NA,750,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53047,NA,FUTSTK,2263,BANDHANBNK,BANDHANBNK-Sep2025-FUT,BANDHANBNK SEP FUT,FUT,NA,3600,30/09/25,-0.01,XX,1,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53048,NA,FUTSTK,4668,BANKBARODA,BANKBARODA-Sep2025-FUT,BANKBARODA SEP FUT,FUT,NA,2925,30/09/25,-0.01,XX,1,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53049,NA,FUTSTK,4745,BANKINDIA,BANKINDIA-Sep2025-FUT,BANKINDIA SEP FUT,FUT,NA,5200,30/09/25,-0.01,XX,1,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53050,NA,FUTSTK,2144,BDL,BDL-Sep2025-FUT,BDL SEP FUT,FUT,NA,325,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53051,NA,FUTSTK,383,BEL,BEL-Sep2025-FUT,BEL SEP FUT,FUT,NA,2850,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53052,NA,FUTSTK,422,BHARATFORG,BHARATFORG-Sep2025-FUT,BHARATFORG SEP FUT,FUT,NA,500,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53055,NA,FUTSTK,10604,BHARTIARTL,BHARTIARTL-Sep2025-FUT,BHARTIARTL SEP FUT,FUT,NA,475,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53056,NA,FUTSTK,438,BHEL,BHEL-Sep2025-FUT,BHEL SEP FUT,FUT,NA,2625,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53057,NA,FUTSTK,11373,BIOCON,BIOCON-Sep2025-FUT,BIOCON SEP FUT,FUT,NA,2500,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53058,NA,FUTSTK,8311,BLUESTARCO,BLUESTARCO-Sep2025-FUT,BLUESTARCO SEP FUT,FUT,NA,325,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53059,NA,FUTSTK,2181,BOSCHLTD,BOSCHLTD-Sep2025-FUT,BOSCHLTD SEP FUT,FUT,NA,25,30/09/25,-0.01,XX,500,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53060,NA,FUTSTK,526,BPCL,BPCL-Sep2025-FUT,BPCL SEP FUT,FUT,NA,1975,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53061,NA,FUTSTK,547,BRITANNIA,BRITANNIA-Sep2025-FUT,BRITANNIA SEP FUT,FUT,NA,125,30/09/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53062,NA,FUTSTK,19585,BSE,BSE-Sep2025-FUT,BSE SEP FUT,FUT,NA,375,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53063,NA,FUTSTK,342,CAMS,CAMS-Sep2025-FUT,CAMS SEP FUT,FUT,NA,150,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53064,NA,FUTSTK,10794,CANBK,CANBK-Sep2025-FUT,CANBK SEP FUT,FUT,NA,6750,30/09/25,-0.01,XX,1,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53065,NA,FUTSTK,21174,CDSL,CDSL-Sep2025-FUT,CDSL SEP FUT,FUT,NA,475,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53066,NA,FUTSTK,760,CGPOWER,CGPOWER-Sep2025-FUT,CGPOWER SEP FUT,FUT,NA,850,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53068,NA,FUTSTK,685,CHOLAFIN,CHOLAFIN-Sep2025-FUT,CHOLAFIN SEP FUT,FUT,NA,625,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53069,NA,FUTSTK,694,CIPLA,CIPLA-Sep2025-FUT,CIPLA SEP FUT,FUT,NA,375,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53071,NA,FUTSTK,20374,COALINDIA,COALINDIA-Sep2025-FUT,COALINDIA SEP FUT,FUT,NA,1350,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53086,NA,FUTSTK,11543,COFORGE,COFORGE-Sep2025-FUT,COFORGE SEP FUT,FUT,NA,375,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53087,NA,FUTSTK,15141,COLPAL,COLPAL-Sep2025-FUT,COLPAL SEP FUT,FUT,NA,225,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53104,NA,FUTSTK,4749,CONCOR,CONCOR-Sep2025-FUT,CONCOR SEP FUT,FUT,NA,1250,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53105,NA,FUTSTK,17094,CROMPTON,CROMPTON-Sep2025-FUT,CROMPTON SEP FUT,FUT,NA,1800,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53121,NA,FUTSTK,1901,CUMMINSIND,CUMMINSIND-Sep2025-FUT,CUMMINSIND SEP FUT,FUT,NA,200,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53122,NA,FUTSTK,5748,CYIENT,CYIENT-Sep2025-FUT,CYIENT SEP FUT,FUT,NA,425,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53131,NA,FUTSTK,772,DABUR,DABUR-Sep2025-FUT,DABUR SEP FUT,FUT,NA,1250,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53132,NA,FUTSTK,8075,DALBHARAT,DALBHARAT-Sep2025-FUT,DALBHARAT SEP FUT,FUT,NA,325,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53133,NA,FUTSTK,9599,DELHIVERY,DELHIVERY-Sep2025-FUT,DELHIVERY SEP FUT,FUT,NA,2075,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53134,NA,FUTSTK,10940,DIVISLAB,DIVISLAB-Sep2025-FUT,DIVISLAB SEP FUT,FUT,NA,100,30/09/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
